"Display custom stock status for 'Out of Stock' items only","Display custom stock status for 'Out of Stock' items only"
"If set to "No", custom stock status will be visible both for "in stock" and "out of stock" items.","If set to "No", custom stock status will be visible both for "in stock" and "out of stock" items."
"Display custom stock status in shopping cart","Display custom stock status in shopping cart"
"Will display custom stock status for items in shopping cart.","Will display custom stock status for items in shopping cart."
"Use quantity ranges based statuses only","Use quantity ranges based statuses only"
"If set to "No" custom stock status set for product will show up if no range status found for particular product.","If set to "No" custom stock status set for product will show up if no range status found for particular product."
"Sign up to get notified when this configuration is back in stock","Sign up to get notified when this configuration is back in stock"
