"Order Max Amount","Montant Maxi d'une commande"
"On Cart","Sur le panier"
"Enable Max Amount","Activer le montant maxi"
"Information Message","Message d'information"
"On Product","Sur le produit"
"If the option is activated, the check will be made before the addition in the cart","Si l'option est activée, la vérification sera faite avant l'ajout dans le panier."
"Max Amount Allow In Cart","Montant maxi dans le panier"
"<span style=""color: red; font-weight: bold;"">Attention</span> This feature will be activated only if <em style=""white-space: nowrap;"">""On Cart""</em> is enabled.","<span style=""color: red; font-weight: bold;"">Attention</span> Cette fonctionnalité sera activée uniquement si <em style=""white-space: nowrap;"">""Sur le panier""</em> est activée."
"You can use the keyword {{var amount}}, it will be replaced by the amount entered previously.","Vous pouvez utiliser le mot clé {{var amount}}, il sera remplacé par le montant saisi précédement."
"Ayaline Order Max Amount","Ayaline Montant Maxi d'une commande"
